,Unnamed: 0,Name,City,MinSalary,MaxSalary,Company,Date,Expirience,Employment,WorkSchedule,Descriptions,Duties,Requiremenst,Terms,KeySkills,Day_from_pars
137,137,Project manager,Москва,102990.0,124346.0,Альтуэра Лабс,2020-11-04T08:49:04+0300,От 3 до 6 лет,Полная занятость,Полный день,  В компании   Altuera открыта позиция «Менеджер проектов».  ,,"   Высшее техническое образование;   Опыт работы руководителем проектов в заказной или продуктовой разработке ПО от 3-х лет;   Опыт и желание работы на этапе presale (оценка проекта, подготовка ТКП);   Знание современных методологий проектного управления и умение применять их на практике;   Опыт оценки трудозатрат для выполнения проекта, разработки планов, контроль исполнения;   ",   ,,2
138,138,Project manager,Москва,102990.0,124346.0,ЭВРИТЕГ,2020-11-05T19:18:11+0300,От 3 до 6 лет,Полная занятость,Полный день, C 2008 года компания «ЭвриТег» делает мир безопаснее и немного честнее. ,"   помощь PM в организации совещаний, подготовку и согласование итоговых протоколов, контроль извещений и исполнения решений совещаний;   уведомление и сбор отчетов исполнителей;   консолидацию отчетной информации от исполнителей;   помощь PM в подготовке справок, презентаций и отчетов;   составление регистров и реестров учета, форм мониторинга и анализа (рисков, показателей) согласно требованиям регламентов;   оформление актуализированных планов-графиков;   координацию совещаний рабочих групп;   исполнение прямых поручений PM в рамках подведомственной проектной деятельности;   коррекцию календарных планов, ресурсной базы и сроков;   выполнение коммуникационных процедур, рассылку документации по проекту заинтересованным сторонам согласно регламенту;   иные формы документационного обеспечения процессов управления проектом.   ","   Опыт работы администратором проектов в IT отрасли - будет большим плюсом.   Знание методологий управления проектами.   Знание документов, регламентирующих делопроизводство, архивное дело   Знание ГОСТов   Отличный уровень владения: MS Project, MS Visio, MS Office   ",, MS Project; Управление проектами; Делопроизводство; MS Visio; MS PowerPoint;,2
139,139,IT manager,Москва,45000.0,109560.0,YouScan,2020-11-05T17:44:23+0300,От 1 года до 3 лет,Полная занятость,Полный день, YouScan — успешная международная ИТ-компания. А еще это дружная команда из 30 людей в Москве. И мы ищем офис-менеджера. ," Делать так, чтобы в нашем офисе всем было хорошо и комфортно :) То есть: ",,, Организаторские навыки; Английский язык; Организация мероприятий; Работа с поставщиками; Офисная техника; Грамотность;,2
140,140,Project manager,Москва,102990.0,124346.0,"РОСБАНК, Societe Generale Group (Russia)",2020-10-28T09:17:41+0300,От 3 до 6 лет,Полная занятость,Удаленная работа, Приглашаем  IT Project manager  присоединиться к нашей команде ,   Управление крупными кросс-функциональными проектами;   Поиск и проработка новых направлений развития ИТ Росбанка;   Участие в разработке и реализации ИТ стратегии Росбанка   ,"   Опыт работы в ИТ консалтинге, технологических компаниях, банках;   Опыт реализации трансформационных проектов (изменения в ИТ, бизнес-процессах) в роли проектного лидера, включая определение подхода к реализации проекта, распределения задач. координации команды, работы с партнерами;   Широкий кругозор по ИТ рынку и трендам, высокий интерес к новым разработкам и технологиям, умение ""заводить"" новые идеи внутрь организации;   Сильные коммуникационные навыки, умение взаимодействовать с ключевыми руководителями на всех уровнях управления, создавать вокруг себя сильные команды единомышленников;   Свободное владение английским языком   ","   Уникальная возможность – полностью дистанционный формат работы. Откуда работать – решать только тебе!   Стабильный и прозрачный доход: зарплата и премии по результатам работы;   График 5/2;   Забота о здоровье сотрудников: программа ДМС, включая стоматологию и страхование при выезде за рубеж, корпоративные спортивные команды и скидки на абонементы в фитнес-клубы;   Дополнительная оплата за больничный лист: доплата сверх пособия по болезни до оклада (до 5 рабочих дней в год);   Личностное развитие и рост: корпоративная электронная библиотека Альпина, возможность прохождения бесплатного обучения и тренингов, участия в регулярных встречах корпоративных клубов и скидки на курсы он-лайн школ;   Скидки и привилегии по кредитам, ипотека на льготных условиях, льготные условия обслуживания и т.п.;   Программа корпоративных скидок и привилегий Primezone: развлечение, отдых, товары и услуги, обучение;   Программа волонтерства и благотворительности;   Сообщества по интересам сотрудников.   ", Управление проектами; Английский язык; Управление командой; Бизнес-анализ; Project management;,2
141,141,IT-рекрутер,Москва,71470.0,150781.0,EdgeCase Technology,2020-10-28T00:21:12+0300,От 1 года до 3 лет,Полная занятость,Удаленная работа, Добрый день! ,   Сбор пожеланий/требований у кандидатов   Мониторинг подходящих вакансий   Отклик на вакансии от имени кандидата   Информирования кандидатов о статусе по компаниям   Формирование отчета о работе   ,   Свободный английский язык   Возможность работать удаленно   Опыт работы в IT-рекрутменте от 6 месяцев   ,   Условия обсуждаются индивидуально   Возможность выйти на хороший заработок с большой премиальной составляющей   , Английский язык; Поиск информации в интернет; Рекрутмент; IT-рекрутмент; Подбор персонала; IT Recruitment;,2
142,142,IT-рекрутер,Москва,71470.0,150781.0,Азбука вкуса,2020-10-26T15:09:01+0300,От 3 до 6 лет,Полная занятость,Полный день," Азбука Вкуса - это не только розничные магазины, а ещё и огромный e-commerce, который делает сильная инхаус команда: архитекторов, аналитиков, программистов, тестировщиков и не только. ",,,, Recruitment; Внутренние коммуникации; Оценка персонала; Обучение и развитие; Адаптация; Мотивация;,2
143,143,IT-рекрутер,Москва,71470.0,150781.0,Aero,2020-10-20T12:24:08+0300,От 3 до 6 лет,Полная занятость,Гибкий график, Ищу  опытного  IT-рекрутера в команду eCommerce агентства Aero на очень интересные спецпроекты в рамках HR отдела! ,,,, Поиск информации в интернет; Подбор персонала; Креативность;,2
144,144,IT-рекрутер,Москва,50000.0,120000.0,Star-staff,2020-10-20T22:17:06+0300,Нет опыта,Полная занятость,Полный день, Мы одно из самых известных профильных IT KA Star-Staff (13 лет на рынке). ,,    Предприимчивость     Стрессоустойчивость     Целеустремлённость / умение много и интенсивно работать     Умение логически мыслить    ,, Подбор персонала; Рекрутмент; Teamleading; Прямой поиск; Умение работать в коллективе;,2
145,145,IT-рекрутер,Москва,71470.0,150781.0,First Line Software,2020-10-15T18:51:15+0300,От 1 года до 3 лет,Полная занятость,Удаленная работа," Мы Fist Line Software - международная IT компания, которая работает по всему Миру. Мы делаем каждый продукт хорошо, качественно и все они несут пользу. А еще мы находим лушчих людей для работы над нашими проектами ",,,, Рекрутмент; Подбор персонала;,2
146,146,IT Директор,Екатеринбург,,,Он-Лайн,2020-10-25T21:54:49+0300,От 3 до 6 лет,Полная занятость,Полный день, ,   организация работы и улучшения качества работы сервисного центра ( в подчинении 4 человека)   расширение ассортимента услуг сервисного центра   организация решения задач работы системного администратора   организация взаимодействия со службами аутсорсинга   ,   опыт работы на руководящих должностях в соответствующей области IT услуг не менее 3-х лет   опыт управления коллективом не менее 3-х лет   опыт нестандартного решения задач   стратегическое мышление   ,"   Работа в востребованной сфере IT   Эффективная система обучения   Прозрачная система мотивации   Испытательный срок 3 месяца   Приветливый, дружный коллектив   График работы с 9 до 18; 5/2,   Район работы Эльмаш, хорошая транспортная развязка, есть парковка.   ", Ориентация на результат; Управленческие навыки; Аутсорсинг; Стратегическое мышление; Системное мышление;,2
147,147,IT-рекрутер,Санкт-Петербург,52691.0,100333.0,EdgeCase Technology,2020-10-14T23:12:25+0300,От 1 года до 3 лет,Полная занятость,Полный день, Добрый день! ,   Сбор пожеланий/требований у кандидатов   Мониторинг подходящих вакансий   Отклик на вакансии от имени кандидата   Информирования кандидатов о статусе по компаниям   Формирование отчета о работе   ,   Свободный английский язык   Возможность работать удаленно   Опыт работы в IT-рекрутменте от 6 месяцев   ,   Условия обсуждаются индивидуально   Возможность выйти на хороший заработок с большой премиальной составляющей   , Английский язык; Поиск информации в интернет; Рекрутмент; IT-рекрутмент; Подбор персонала; IT Recruitment;,2
148,148,IT-рекрутер,Москва,71470.0,150781.0,Ozon,2020-11-05T13:43:36+0300,От 1 года до 3 лет,Полная занятость,Полный день," Если позиция кажется интересной, то отправляй отклик + сопроводительное письмо, где расскажи чем тебя зацепила вакансия. Никакого формализма, только по существу. Примеры работ, ссылки на реализованные проекты дают +100500 к твоему резюме. ",,,"   Бизнес развивается на 73% в год и это не предел;   Планы на этот год не менее амбициозны;   Прекрасный офис с панорамными видами в Сити;   Гибкий график по договоренности с руководителем;   Официальное оформление, ДМС, скидки в компаниях партнерах, вот это все;   Свобода в реализации идей;   Бесплатные перекусы в течение дня для всех и ужины для особых трудяг;   Никакого дресс-кода;   Прекрасная зарплата, куда же без нее!   ", Продвижение бренда; Обучение и развитие; Адаптация; Проведение опросов; Управление талантами;,2
149,149,IT Директор,Москва,150000.0,,Отличные наличные,2020-11-05T21:25:30+0300,Более 6 лет,Полная занятость,Полный день,"  Мы – Микрофинансовая Компания ""Отличные наличные"", растём и развиваемся с февраля 2011 года, за это время выросли до масштаба большой федеральной компании. На сегодняшний день Наша компания представлена более 270 офисами на территории более 100 городов России, в нашей команде больше 1800 сотрудников.   ",,   Образование - высшее профильное   Общий стаж в IT - не менее 7 лет   Опыт управления разработкой – не менее 5 лет   Опыт успешной разработки и внедрения крупного ПО   Знания современных технологий разработки   Знания современных методик управления разработкой   Базовое понимание основных языков разработки   Отличные коммуникационные и организаторские способности   Умение работать с динамически изменяемыми входными данными   Готовность к релокации в Новосибирск   ,   Работа в федеральной компании с разветвленной региональной сетью   Достойная заработная плата (обсуждается индивидуально)   Трудовой договор в соответствии с ТК РФ   ,,2
150,150,IT-рекрутер,Санкт-Петербург,52691.0,100333.0,Distillery,2020-11-03T16:44:57+0300,От 3 до 6 лет,Полная занятость,Полный день, ,"   Поиск и подбор IT персонала;   Поддержание связи с кандидатом на всех этапах работы;   Взаимодействие с техлидами, анализ запроса на поиск, составление описания вакансии и карты поиска;   Использование активных и пассивных каналов поиска кандидатов;   Ведение одновременно нескольких вакансий (5-7);   Оптимизация текущих процессов;   Мониторинг рынка труда и заработных плат;   Ведение отчётности, базы FriendWork, формирование кадрового резерва.   ","   Опыт подбора IT специалистов middle/senior уровня от 2х лет;   Опыт оптимизации процесса подбора;   Участие в различных проектах в области найма сотрудников;   Знание английского языка (Intermediate);   Инициативность, ориентация на результат.   ",,,2
151,151,IT-рекрутер,Москва,30000.0,70000.0,Диджитал Пайн,2020-11-03T01:38:03+0300,От 3 до 6 лет,Частичная занятость,Удаленная работа," В партнёрскую программу Coin32.com требуется хороший человек - и при этом специалист по найму классных IT кадров, энтузиастов своего дела. Cпециализируемся на дистрибуции софта в странах СНГ и создании массовых онлайн-сервисов, занимаем на этом рынке лидирующие позиции. ",,,   , HR Business Strategy; Рекрутмент; IT Recruitment; Recruitment;,2
152,152,Project manager,Санкт-Петербург,83953.0,103311.0,"Арсенал-Недвижимость, Группа компаний",2020-11-03T15:33:07+0300,От 1 года до 3 лет,Полная занятость,Полный день,"   ГК «Арсенал-Недвижимость» является застройщиком в сфере жилищного строительства, в связи с ростом и развитием у нас открыта вакансия –  Менеджер IT-проектов .   ","   анализ бизнес-процессов компании;   настройка и администрирование CRM 1С: Битрикс24;   формирование технического задания на доработки Битрикс24;   взаимодействие с разработчиком системы (внешний);   формирование пользовательских инструкций и обучением пользователей;   обслуживание системы электронного документооборота (работа с пользователями, внесение правок);   участие в других IT проектах компании   ","   высшее образование;   требуемый опыт работы: 1–3 года;   опыт проектирования и/или автоматизации бизнес-процессов на базе Битрикс24;   опыт работы с системами электронного документооборота;   отличные знания MS Excel (на уровне написания сложных формул);   ответственность, пунктуальность, доброжелательность.   ","   Работа в стабильной строительной компании (Заказчик-Застройщик);   Оформление и социальные гарантии согласно ТК РФ;   Официальная и своевременная заработная плата;   Возможность профессионального и карьерного роста;   Режим работы 5/2, с 9:00 до 18:00;   Офис рядом со ст.м.Невский проспект.   ", 1С-Битрикс; CRM; Бизнес-анализ; MS Visio; MS Excel;,2
153,153,Project manager,Екатеринбург,70000.0,80000.0,Центр развития ресторанной культуры,2020-11-04T10:28:10+0300,От 3 до 6 лет,Полная занятость,Полный день, , Обеспечение бесперебойной работы офиса (30 ПК) , Опыт работы в должности системного администратора от 2х лет. , Работа в центре Екатеринбурга , VMware; Windows Server 2003; Active Directory; Администрирование серверов Windows; Windows 7;,2
154,154,Project manager,Москва,102990.0,124346.0,ТД Арктика,2020-11-05T15:43:31+0300,От 1 года до 3 лет,Полная занятость,Полный день, ,"   Разработка общей архитектуры системы автоматизации в компании;   Планирование и управление проектами по проведению автоматизации (1:С, Bitrix24, Power BI и др);   Автоматизация анализа данных и настройка дэшбордов компании на базе используемых программных продуктов, обеспечение качественного формирования данных;   Формирование и управление рабочими группами проектов, организация встреч рабочих групп, протоколирование и проведение регулярных встреч по проекту;   Взаимодействие с контрагентами, партнерами, контроль работ подрядчиков в рамках проекта, проведение тендеров на поиск подрядных организаций для реализации проектов;   Предоставление регулярной отчетности по реализации проекта;   Согласование и контроль подписания, контроль исполнения договоров с контрагентами;   Организация технической поддержки по 1С, Bitrix 24, CRM-систем и обеспечение качественной работы данного ПО;   Организация технического оснащения и обслуживания оборудования офиса для обеспечения бесперебойной работы Интернет, IP телефонии, принтеров и др. Подбор и настройка медиа оборудования для офиса;   Управление подрядной компанией, осуществляющей системное администрирование: удаленные рабочие столы, облачное хранилище, настройка и установка ПО, безопасность, решение технических вопросов;   Управление вопросами информационной безопасности, доступа к информации и ее сохранности.   ","   Высшее техническое образование (IT, мехмат);   Знание и опыт применения методологий ведения проектов, навыки организации эффективной работы проектной команды, в том числе с подрядчиками;   Опыт руководства и ведения проектов по автоматизации данных, изменению конфигурации в 1С;   Знание функционала программ 1С, принципов работы Bitrix 24;   Навыки подготовки технического задания для автоматизации процессов.   ","   Оформление по ТК РФ, ""белая"" заработная плата;   График работы 5/2 с 9 до 18;   Комфортабельный офис в 2 минутах ходьбы от ст. метро Маяковская;   Молодой, дружный и профессиональный коллектив;   Уровень дохода обсуждается с успешным кандидатом.   ", 1С: Бухгалтерия; 1С: Зарплата и управление персоналом; 1С: Торговля; 1С: Управление Торговлей;,2
155,155,Project manager,Екатеринбург,100000.0,115000.0,Крупная торговая компания,2020-11-03T09:55:07+0300,От 3 до 6 лет,Полная занятость,Полный день, Торговой компании требуется Руководитель It-отдела ,"   Руководство IT-подразделением: постановка задач сотрудникам отдела, контроль их выполнения (5-6 сотрудников), разработка системы мотивации для сотрудников отдела   Оперативное управление инфраструктурой компании.   Личное участие в управлении и администрировании IT-инфраструктуры.   Повышение надежности функционирования IT-систем и эффективности оказываемых сервисов.   Внедрение и сопровождение проектов на базе 1С 8.3.   Составление техзаданий, тестирование результатов, разработка инструкций и регламентов для пользователей   Консультирование пользователей 1С   Поддержание и развитие коммуникационной системы (связь, управление каналами связи, поддержка пользователей).   Взаимодействие с внешними поставщиками и внутренними заказчиками   ","   Высшее образование (желательно наличие профильного образования)   Опыт руководства IT-отделом от 2 лет;   Отличное знание основ IT-технологий.   Отличное знание 1С (различные конфигурации)   опыт работы в торговых компаниях, понимание специфики   Хорошие организаторские способности, умение управлять людьми и добиваться результата в поставленных задачах.   Системный подход к решению задач, аналитический склад ума.   ",   Работа в крупной торговой компании   Трудоустройство согласно ТК РФ   Заработная плата: оклад + премии. Рассматриваем ожидания кандидатов.   Район работы - Уралмаш   , Руководство коллективом; Разработка регламентов; Системный подход; 1С программирование; Постановка задач разработчикам;,2
156,156,IT Инженер,Санкт-Петербург,55000.0,60000.0,Булочные Ф.Вольчека,2020-11-05T18:07:56+0300,От 1 года до 3 лет,Полная занятость,Полный день, ,"   Участие в построении ИТ инфраструктуры офиса и торговой сети   Участие в разработке и тиражировании ИТ продуктов и сервисов   Выполнение заявок пользователей по инцидентам и запросам на изменение согласно SLA   Выезды на торговые точки с целью обслуживания оборудования, восстановления работоспособности и т.д.   Подготовка торговых точек к открытию, сборка оборудования и т.д.   ",,,,2
157,157,IT Специалист,Санкт-Петербург,30000.0,83400.0,Филиал ФКУ Налог-Сервис ФНС России по ЦОД в г.Москве,2020-11-05T11:32:08+0300,От 1 года до 3 лет,Полная занятость,Полный день,  Мы предлагаем:  ,,,,,2
158,158,IT Юрист,Москва,200000.0,3000.0,КДВ Групп,2020-11-03T10:18:48+0300,От 3 до 6 лет,Полная занятость,Полный день,"  В холдинг ООО ""КДВ-Групп"" требуется юрист по IT сфере  ","   Решение правовых вопросов в сфере регулирования интернет-сервисов, правовое сопровождение IT бизнеса группы, проектов электронной коммерции;   Консультации, анализ и разработка документов в сфере создания объектов интеллектуальной собственности   Консультации, анализ и разработка документов в сфере регулирования персональных данных   Разработка форм и анализ гражданско-правовых договоров, форм иных правовых документов   Подготовка заключений по вопросам указанной сферы деятельности   Ведение судебно-претензионной работы   "," - PQE 5+ в IT компании, либо в крупном холдинге строго по указанному профилю ","   Официальное трудоустройство (белая заработная плата)   График работы с 9.00 - 18.00   Оплачиваемый отпуск   Новые, амбициозные задачи   Возможность карьерного роста внутри компании   Оплата транспортных расходов   Возможны командировки по РФ   Возможность работать в режиме Хоум-офис   ",,2
159,159,Project manager,Москва,30000.0,70000.0,Фрэшкуб,2020-11-05T13:25:24+0300,Нет опыта,Полная занятость,Полный день,  О нас:  ,"     Коммуникации с заказчиком, сбор требований, составление плана работ       Координация работ по проекту       Тестирование задач       Контроль и принятие работ от программистов       Обучение сотрудников заказчика работе в CRM       Цель: утверждение работ и довольный заказчик     ","     Стремление расти и прокачивать свои навыки в сфере IT       Хорошие коммуникационные навыки       Умение работать самостоятельно и в команде       Образование – высшее, неоконченное высшее       Начальные знания информационных технологий. Слова HTML, сервер, PHP, IP-телефония должны быть вам знакомы       Опыт работы – не имеет большого значения. Плюсом будет опыт работы с сервисами МойСклад, amoCRM, IP-телефонией.     ","     Режим работы удаленно. Иногда потребуется приезжать в офис и на встречи с клиентами.       Полный рабочий день с 9.00 до 18.00, также рассматриваются варианты с гибким графиком       Заработная плата 25 тыс. рублей на испытательный срок до 2-х месяцев       После испытательного срока зарплата 30 тыс. рублей + % от бюджета проектов       Возможность роста до руководителя отдела     ", Грамотная речь; Пользователь ПК; Ведение переговоров; Деловая переписка; Организаторские навыки;,2
160,160,IT-рекрутер,Санкт-Петербург,52691.0,45000.0,Финансово-правовой альянс,2020-11-05T11:34:15+0300,Нет опыта,Полная занятость,Полный день," С 2015 года юридическая компания «ФПА» сохраняет лидерство в отрасли банкротства в Санкт-Петербурге по таким критериям как доля рынка, а также штатная численность адвокатов и финансовых управляющих. ",   Проведение собеседований совместно с IT рекрутерами компании;   Протоколирование характеристики кандидата во время собеседования;   Участие в обсуждении кандидата с IT рекрутером после собеседования.   ,"     Оконченное высшее образование;     Имеют приоритет кандидаты с дипломом в области информационных технологий, а также по специальности ""Управление персоналом"";     Опыт работы желателен, но не обязателен. Мы рассматриваем кандидатов без опыта работы в подборе персонала, но с огромным желанием работать в HR. Если Вы совершаете свои первые шаги в подборе персонала, но понимаете, что Вам нужны профессиональные ориентиры, примеры, наставничество, то мы с удовольствием рассмотрим Ваше резюме;       Кандидаты с опытом работы по подбору IT сотрудников или с опытом работы в кадровых агентствах, с опытом работы по подбору офисных сотрудников имеют приоритет.     ",, Набор текста; Ведение протокола встречи; Участие в собеседовании; Психологические заключения;,2
161,161,Project manager,Москва,90000.0,100000.0,Связь инжиниринг М,2020-11-05T16:28:37+0300,От 3 до 6 лет,Полная занятость,Полный день,"   Наша Компания является разработчиком и производителем автоматизированных информационно-измерительных систем коммерческого учета энергоресурсов (АИИСКУЭ) и интеллектуальных систем учета (ИСУ), а так же систем мониторинга и телемеханики. Основной продукт компании — решения в области энергосбережения. Мы предлагаем комплексный подход к внедрению энергосберегающих технологий, начиная с учёта потребления и энергоаудита, заканчивая заключением и реализацией энергосервисных и перфоманс-контрактов.   ","   Управление backlog’ами проектов в Jira, формирование tasks/user stories в backlog’ах.   Организация и контроль работы одной из команд по Scrum – планирование и декомпозиция (совместно с командой проекта) спринтов, ежедневные митинги, демонстрации и ретроспективы по итогам спринтов.   Организация и проведение мероприятий (совещаний, мозговых штурмов, презентаций), фиксация результатов   Организация и контроль работы остальных команд по Kanban.   Участие в планировании работы QA с учетом выхода релизов.   Совместно с product owner (а в перспективе – самостоятельно) – наполнение и приоритезация backlog’ов.   Администрирование пространств проектов отдела разработки (jira, confluence, trello, slack).   Контроль выполнения roadmap’ов (согласование с Бизнесом осуществляет Product Owner).   Выявление и предотвращение рисков, влияющих на сроки работ.   Отчетность о текущем прогрессе и достигнутых результатах в ходе проекта, обсуждение проблемных вопросов с Product Owner.   ","   Аналогичный опыт работы от 2х лет   Высшее техническое образование   Понимание схем UML   Опыт организации процессов разработки по Agile (Scrum – обязательно, Kanban – будет преимуществом) в JIRA   Опыт формирования ТТ и ТЗ    Обязательным будет погружение в функциональные особенности продуктов и знание продуктов по результатам испытательного срока    ",   Офис в 5 минутах ходьбы от м. Варшавская;   Оформление по ТК РФ;   Гибкий график работы 5/2;   , Atlassian Jira; Scrum; Управление проектами;,2
162,162,IT-рекрутер,Москва,60000.0,125000.0,BookedBy,2020-11-05T10:16:07+0300,От 3 до 6 лет,Полная занятость,Удаленная работа," Founded in 2012, Salon Ultimate is an innovative all-in-one hybrid point of sale software platform for independent and enterprise salons and spas. We’re looking for a highly motivated and organized Corporate Recruiter to join our Team! ",,,, Internet; Recruitment; Подбор сотрудников; Ведение переговоров; Управление персоналом; Работа в команде; Трудовое законодательство РФ; Трудовое право; Международный подбор;,2
163,163,IT-рекрутер,Санкт-Петербург,52691.0,100333.0,Pride Games Studio,2020-11-03T12:56:14+0300,От 1 года до 3 лет,Полная занятость,Полный день,"  Pride Games Studio  — это команда единомышленников, увлеченных общей целью и любовью к играм. Мы создаем мобильные игры в жанре survival, а также недавно взялись за новый для себя жанр: казуальный экшен-RPG. Наши проекты Survival Island, Exile Survival и Monster Killer уже набрали более 50 млн. инсталлов и это только начало. ",,,, Подбор персонала; Внутренние коммуникации; Английский язык; Организаторские навыки; Собеседование;,2
164,164,HR manager,Санкт-Петербург,50000.0,85000.0,Цифровые привычки,2020-11-03T15:59:03+0300,От 1 года до 3 лет,Полная занятость,Полный день," ""Цифровые Привычки"" - генеральный подрядчик Сбера (Сбербанк), который работает над сложными и масштабными проектами крупных компаний страны. В данный момент мы активно масштабируемся и ищем IT рекрутера, который займется поиском и взаимодействием с Junior/Middle Java разработчиками ","   Взаимодействие с кандидатами;   Поиск кандидатов через различные инструменты, выстраивание стратегий поиска;   Сопровождения кандидатов от отклика до подписания трудового договора;   Назначение собеседований с техническими специалистами компании по Zoom;   Учет кандидатов на всех этапах и ведение личных дел;   Прямое взаимодействие с контент-менеджером компании и   ","   Понимание рекрутмента разработчиков;   Опыт работы от 1 года на схожей позиции;   Интерес к кандидатом, теплое взаимодействие;     Умение быстро, много и результативно сорсить в разных источниках;       Быстро находить общий язык с кандидатами, отрабатывать возражения;       Иметь иммунитет к эмоциональному выгоранию     ","   Удобный рабочий день, с 10:00 до 19:00, либо с 11:00 до 20:00   Официальное трудоустройство   Молодой, дружелюбный и интересный коллектив с опытом работы в мировых проектах   ", Деловая коммуникация; Деловая переписка; Поиск персонала в открытых источниках; Работа в команде; Ведение переговоров; Заключение договоров; Английский язык; Деловое общение; Java; IT Recruitment; Поиск и привлечение клиентов;,2
